HGNC symbol	logFC
MIR4432	0.40548492319549867
MYRFL	2.3396034733487765
SPANXA2-OT1	-11.421522267121636
MIR346	1.8627160756406635
TEN1-CDK3	1.7939794277967784
RNA5SP175	-5.0813645724877174
SRGAP3	1.335939953501469
OSCAR	7.405288654124756
RN7SL867P	0.012905150083704454
TAF4B	2.8375199915426212
ANKUB1	1.4388035535487875
ARHGEF18	3.676952117346672
MTND2P3	-8.249753824656988
ZNF287	8.236812640242722
PSAT1P3	4.299800550565075
CXorf31	-2.634510024494615
OR12D3	-5.300714419485703
RNU6-733P	-10.450119875585697
ATF2	1.2710800062282166
MCM5	-1.9003932554776282
FAF2P1	-0.27479667795268964
MIR518B	-1.2965593257416461
FSD1	-4.888578219580326
CD79B	1.991352094466865
CYP51A1P1	-1.6648939670724858
MIR3124	4.314643247974268
VPS26AP1	-7.708421819061875
OR56B2P	2.33271962706186
C10orf115	0.8403481511922332
MIEF1	4.113435911984517
RNU4-38P	-0.9639108464189204
PDCD4	-3.3737667459115226
PPM1F	-0.7889619222052519
RNU6-1045P	-0.8239061051984532
RNF19A	-1.6849631071159175
MICF	-1.223333343398269
C3orf84	1.9502647285824923
RN7SL831P	-0.48821597802393807
BDH1	-0.2860939128607729
UBE2V2P3	1.833847140667973
APOBEC3A	-2.290728048143705
PAXIP1	0.5567813913628116
KIR2DS4	2.5093289022558207
CRYBB2	1.4285783904372709
FMO11P	6.842339415547276
CLIP2	6.8649956476246095
IGHV1-67	1.1264310729490896
RNA5SP316	2.40160053375217
RN7SL854P	-5.246023850899692
FRMPD4	1.867632220108971
C3orf20	3.3794130362667896
RNU7-120P	-4.030923772278216
MIR3159	-6.977035538597925
DROSHA	2.7853568297593427
TRAJ45	-2.0342816001228985
MCCD1P1	-7.149998364121617
MXD1	-7.525795831067683
GPR161	9.231411225437776
RNU6-923P	-0.8534653418820374
PSG9	0.3814696710543151
ACTG2	-7.071524816434277
CT45A1	8.61384081856333
RN7SL12P	2.8559897714191465
OR7E159P	9.18892561793954
VPS16	4.930200836263577
VSIG2	-2.372654828705812
ADAMTS1	5.8502382765499465
ACAP3	2.357879637852832
APOE	4.294452073702561
SNAI3-AS1	3.1710902251967714
OR9I3P	-9.040619703962294
RN7SL43P	-2.7930577884621646
KCTD12	1.9489962881036142
GOLGA8F	-2.847176899999432
SH2D3C	6.495323177061096
CCDC81	-1.0561159388459977
ZNF286A	6.468630545086612
RPS21P1	-0.9507257196475519
RNU6-682P	-3.001513429447726
OR4E2	1.6814241567237425
LRCH2	-3.18853097917967
CD3G	-1.8308679246768331
MIR590	1.473114076576089
OR9I2P	2.326557210029842
TAS2R18	-0.2028077660784392
HLA-F-AS1	-6.3017115806723165
NAT8L	-2.974588794826013
TBC1D13	-6.68045862243866
MICE	-2.755283253866735
MIRLET7E	9.556622008524895
ZNF192P1	-7.2414970232051035
ANO1	2.4084337009209116
TUBG1	-0.13967241664455102
GLTSCR1L	1.7573732892623362
IGHVIII-13-1	-0.696549959990905
MT-TL1	6.901282293269245
ATP5A1P10	-1.039995099718463
OTC	-1.0232165121835155
LINC00971	0.94289779173499
ACAN	1.7563354220633665
