Gene stable ID	NCBI gene (formerly Entrezgene) ID
ENSG00000261657	115286
ENSG00000223116	NA
ENSG00000233440	NA
ENSG00000207157	NA
ENSG00000229483	NA
ENSG00000252952	100873766
ENSG00000235205	NA
ENSG00000232849	NA
ENSG00000236803	NA
ENSG00000232163	NA
ENSG00000252365	NA
ENSG00000229558	100506680
ENSG00000235784	NA
ENSG00000224394	NA
ENSG00000212559	NA
ENSG00000232977	100506697
ENSG00000236520	100873972
ENSG00000227893	NA
ENSG00000212057	NA
ENSG00000222129	NA
ENSG00000232102	NA
ENSG00000242037	NA
ENSG00000238230	NA
ENSG00000227640	100507533
ENSG00000205861	NA
ENSG00000235768	NA
ENSG00000237924	NA
ENSG00000260962	NA
ENSG00000252335	NA
ENSG00000238463	NA
ENSG00000223298	NA
ENSG00000196593	NA
ENSG00000200211	NA
ENSG00000271492	NA
ENSG00000223392	100874194
ENSG00000228741	221178
ENSG00000247400	100289274
ENSG00000225674	NA
ENSG00000229622	NA
ENSG00000252695	100313842
ENSG00000227213	100874231
ENSG00000227714	NA
ENSG00000240868	NA
ENSG00000232373	NA
ENSG00000234627	NA
ENSG00000251901	NA
ENSG00000261498	NA
ENSG00000226977	NA
ENSG00000233545	NA
ENSG00000242614	NA
ENSG00000233273	NA
ENSG00000205822	NA
ENSG00000235137	NA
ENSG00000243300	100887754
ENSG00000266216	NA
ENSG00000244615	NA
ENSG00000234267	NA
ENSG00000243008	NA
ENSG00000272329	NA
ENSG00000211508	NA
ENSG00000222472	NA
ENSG00000207474	NA
ENSG00000252154	NA
ENSG00000225404	NA
ENSG00000238522	NA
ENSG00000233124	NA
ENSG00000231417	NA
ENSG00000202290	NA
ENSG00000271625	NA
ENSG00000226695	NA
ENSG00000226134	NA
ENSG00000238407	NA
ENSG00000233291	NA
ENSG00000270725	NA
ENSG00000253771	NA
ENSG00000232217	NA
ENSG00000222969	NA
ENSG00000263399	100422881
ENSG00000269189	NA
ENSG00000269599	NA
ENSG00000251299	NA
ENSG00000231194	NA
ENSG00000271437	NA
ENSG00000232858	NA
