Gene stable ID	HGNC symbol	HGNC ID
ENSG00000261657	SLC25A26	20661
ENSG00000223116		
ENSG00000233440	HMGA1P6	19121
ENSG00000207157	RNY3P4	42488
ENSG00000229483	LINC00362	42682
ENSG00000252952	RNU6-58P	42548
ENSG00000235205	TATDN2P3	39256
ENSG00000232849	LINC00363	42684
ENSG00000236803	SDAD1P4	39261
ENSG00000232163	RPLP1P13	41973
ENSG00000252365		
ENSG00000229558	SACS-AS1	39835
ENSG00000235784	HNRNPA1P29	39547
ENSG00000224394	GPC6-AS2	39910
ENSG00000212559	RNA5SP35	42611
ENSG00000232977	LINC00327	42009
ENSG00000236520	GPC6-AS1	39909
ENSG00000227893	LINC00352	42670
ENSG00000212057		
ENSG00000222129	RNA5SP36	42612
ENSG00000232102	MTCO3P2	39681
ENSG00000242037	RN7SL585P	46601
ENSG00000238230	LINC00391	42719
ENSG00000227640	SOX21-AS1	39807
ENSG00000205861	C1QTNF9B-AS1	39839
ENSG00000235768	BRD7P5	37631
ENSG00000237924	RPL21P112	36526
ENSG00000260962	LINC00557	43701
ENSG00000252335	RNU6-62P	42552
ENSG00000238463		
ENSG00000223298	RNY3P8	42492
ENSG00000196593	ANKRD20A19P	42737
ENSG00000200211	RNY4P27	42495
ENSG00000271492	MEMO1P5	49102
ENSG00000223392	CLDN10-AS1	39907
ENSG00000228741		
ENSG00000247400	DNAJC3-AS1	39808
ENSG00000225674	IPO7P2	39838
ENSG00000229622	MTND5P2	41919
ENSG00000252695	MIR2276	37313
ENSG00000227213	SPATA13-AS1	39905
ENSG00000227714	MTND6P18	39481
ENSG00000240868	C1QTNF9-AS1	39906
ENSG00000232373	MTCYBP3	39579
ENSG00000234627	NUS1P3	30934
ENSG00000251901		
ENSG00000261498	LINC00566	43710
ENSG00000226977	HMGN1P24	39368
ENSG00000233545	CYCSP33	24407
ENSG00000242614	RN7SL164P	46180
ENSG00000233273	AMMECR1LP1	39809
ENSG00000205822	TPTE2P6	42644
ENSG00000235137	HSP90AB6P	32540
ENSG00000243300	LINC00359	42679
ENSG00000266216		
ENSG00000244615	PSPC1P2	42643
ENSG00000234267	TULP3P1	39262
ENSG00000243008		
ENSG00000272329		
ENSG00000211508		
ENSG00000222472	RN7SKP7	42625
ENSG00000207474	RNY1P7	42484
ENSG00000252154		
ENSG00000225404	RPL26P34	36249
ENSG00000238522		
ENSG00000233124	LINC00456	42804
ENSG00000231417	IRX1P1	33315
ENSG00000202290	RNA5SP37	42613
ENSG00000271625	PSMA6P4	39609
ENSG00000226695	ANKRD20A10P	39707
ENSG00000226134		
ENSG00000238407		
ENSG00000233291	RPL7AP61	35482
ENSG00000270725		
ENSG00000253771	TPTE2P1	35196
ENSG00000232217	FTLP8	37956
ENSG00000222969	RN7SKP8	42626
ENSG00000263399	MIR3170	38282
ENSG00000269189		
ENSG00000269599		
ENSG00000251299	SLC25A15P3	39844
ENSG00000231194	FARP1-AS1	40229
ENSG00000271437		
ENSG00000232858	RPL34P27	36369
ENSG00000224418	STK24-AS1	39935
ENSG00000256305		
ENSG00000217686	NUS1P4	38474
ENSG00000234056	AMER2-AS1	42813
ENSG00000233549	CYCSP35	24409
ENSG00000238169	LINC01053	49047
ENSG00000233662	CALM2P4	39661
ENSG00000225105	LINC01076	49119
ENSG00000243366	RN7SL60P	46076
ENSG00000235315	RPL23AP69	36625
ENSG00000229918	DOCK9-AS1	40672
ENSG00000261530	BTC	1121
ENSG00000221324		
ENSG00000260509		
ENSG00000231981	RPL7L1P12	39811
ENSG00000234152	TCEB2P1	39719
ENSG00000265546	RN7SL289P	46305
ENSG00000260666		
ENSG00000207298	RNU6-83P	42573
ENSG00000199767	RNU6-78P	42568
ENSG00000260992	DOCK9-AS2	43696
ENSG00000180803		
ENSG00000230871	RPS6P23	39581
ENSG00000242381	RN7SL741P	46757
ENSG00000260334	GAST	4164
ENSG00000223158	RNY1P3	42480
ENSG00000231983	LINC00415	42748
ENSG00000234005	GAPDHP22	37774
ENSG00000228889	UBAC2-AS1	42502
ENSG00000233963	ATP8A2P3	42641
ENSG00000201793	RN7SKP9	42627
ENSG00000218502	H2AFZP3	38013
ENSG00000207719	MIR623	32879
ENSG00000234706	PRUNEP1	39723
ENSG00000228808	HMGB3P4	39104
ENSG00000271559		
ENSG00000238241	CCR12P	39812
ENSG00000227882	PRKRIRP6	39570
ENSG00000266207		
ENSG00000203441	LINC00449	42786
ENSG00000234031	RPS3AP44	36761
ENSG00000212197	RNY3P6	42490
ENSG00000234168	LINC01039	49027
ENSG00000237001	WASF3-AS1	39841
ENSG00000234239	CFL1P8	39960
ENSG00000230256	FGFR1OP2P1	39706
ENSG00000223782	RPS21P8	39705
ENSG00000263615	MIR4306	38350
ENSG00000218198	RPS20P32	36444
ENSG00000227659	CLYBL-AS2	39894
ENSG00000232162	USP12-AS1	39961
ENSG00000234303	CLYBL-AS1	39893
ENSG00000230641	USP12-AS2	39962
ENSG00000234772	LINC00412	42745
ENSG00000201245		
ENSG00000238305		
ENSG00000207500	SNORD102	10099
ENSG00000260738	LINC00554	43697
ENSG00000207051	SNORA27	32617
ENSG00000221756		
ENSG00000225999	NDUFA12P1	39419
ENSG00000252247	RNU6-70P	42560
ENSG00000229609	LINC01079	49122
ENSG00000236554	ASNSP3	39399
ENSG00000201242	RNY1P1	42478
ENSG00000203602		
ENSG00000252499	RNU6-63P	42553
ENSG00000228501	RPL15P18	36515
ENSG00000226703	NPM1P4	7924
ENSG00000261125	HAP1	4812
ENSG00000270632		
ENSG00000207330	RNU6-73P	42563
ENSG00000234650	PCCA-AS1	39901
ENSG00000247381	PDX1-AS1	43698
ENSG00000260704	LINC00543	43678
ENSG00000242360	RN7SL272P	46288
ENSG00000224356		
ENSG00000271026	KATNBL1P1	39724
ENSG00000235115	CHCHD2P8	39592
ENSG00000234354	RPS26P47	36368
ENSG00000261485	PAN3-AS1	39932
ENSG00000237082	COX5BP6	2275
ENSG00000232587	EEF1A1P3	3194
ENSG00000200840	RNU6-82P	42572
ENSG00000233009	NALCN-AS1	42743
ENSG00000235472	EIF4A1P7	37926
ENSG00000202237	RNU6-53P	42543
ENSG00000214051	ARF4P3	32380
ENSG00000233588	CYP51A1P2	20251
ENSG00000229599	LINC00411	42744
ENSG00000236339	POM121L13P	42635
ENSG00000272349		
ENSG00000221670		
ENSG00000201155	RNU1-24P	42504
ENSG00000236758	MTUS2-AS2	40923
ENSG00000215399	HMGB3P7	39299
ENSG00000265164	MIR2681	41532
ENSG00000223460	GAPDHP69	4147
ENSG00000229975	LIPT1P1	39278
ENSG00000270680		
ENSG00000201690	RNY1P2	42479
ENSG00000179141	MTUS2-AS1	40924
ENSG00000264482	MIR4705	41567
ENSG00000236860	RPL39P29	35808
ENSG00000236258	TIMM8BP1	39211
ENSG00000224329	LINC00297	39210
ENSG00000243319	FGF14-IT1	42774
ENSG00000224405	LINC00572	43722
ENSG00000234445	FGF14-AS1	40237
ENSG00000122043	LINC00544	43679
ENSG00000272143	FGF14-AS2	44368
ENSG00000266505		
ENSG00000270581		
ENSG00000261057	LINC00555	43699
ENSG00000224511	LINC00365	42687
ENSG00000269942		
ENSG00000232117	LINC00384	42711
ENSG00000238869		
ENSG00000231633	LINC00283	38809
ENSG00000232643	LINC00385	42713
